type;price;priсePerEarthsquare;houseSquare;earthSquare;floors;place;URL
cottage;7645000;52724;145;4.15;2;Калужское шоссе;https://www.cian.ru/sale/suburban/265389598/
cottage;7645000;52724;145;4.15;2;Калужское шоссе;https://www.cian.ru/sale/suburban/265098460/
house;7700000;38500;200;6.0;2;Варшавское шоссе;https://www.cian.ru/sale/suburban/263933468/
house;7700000;77000;100;10.0;1;Киевское шоссе;https://www.cian.ru/sale/suburban/260682767/
house;7870000;76408;103;9.6;2;Калужское шоссе;https://www.cian.ru/sale/suburban/259194774/
house;7900000;79000;100;5.27;2;Калужское шоссе;https://www.cian.ru/sale/suburban/264766591/
house;7900000;26780;295;15.0;2;Симферопольское шоссе;https://www.cian.ru/sale/suburban/263702910/
house;7998000;48473;165;6.0;2;Калужское шоссе;https://www.cian.ru/sale/suburban/264677142/
house;8100000;92255;87.8;8.0;2;Киевское шоссе;https://www.cian.ru/sale/suburban/265302068/
cottage;8500000;56818;149.6;10.0;2;Калужское шоссе;https://www.cian.ru/sale/suburban/261778534/
house;8500000;126113;67.4;8.0;1;Варшавское шоссе;https://www.cian.ru/sale/suburban/263653933/
house;8500000;60714;140;6.0;2;Варшавское шоссе;https://www.cian.ru/sale/suburban/253295284/
house;8500000;60113;141.4;7.0;2;Варшавское шоссе;https://www.cian.ru/sale/suburban/265172167/
cottage;8500000;42500;200;3.5;2;Калужское шоссе;https://www.cian.ru/sale/suburban/228881844/
cottage;8600000;81905;105;2.8;2;Калужское шоссе;https://www.cian.ru/sale/suburban/257848240/
house;8700000;214286;40.6;7.8;1;Киевское шоссе;https://www.cian.ru/sale/suburban/263096989/
house;8650000;34739;249;17.0;2;Симферопольское шоссе;https://www.cian.ru/sale/suburban/264381357/
house;8700000;96667;90;4.0;;Калужское шоссе;https://www.cian.ru/sale/suburban/257154007/
house;8800000;135385;65;10.5;2;Ленинградское шоссе;https://www.cian.ru/sale/suburban/262090978/
house;8800000;73333;120;5.26;2;Варшавское шоссе;https://www.cian.ru/sale/suburban/255859264/
house;8990000;90808;99;10.0;1;Киевское шоссе;https://www.cian.ru/sale/suburban/260433513/
cottage;8900000;74167;120;6.22;2;Калужское шоссе;https://www.cian.ru/sale/suburban/264036205/
house;8900000;72951;122;6.0;2;Боровское шоссе;https://www.cian.ru/sale/suburban/264808219/
house;8999000;40905;220;6.0;2;Калужское шоссе;https://www.cian.ru/sale/suburban/263356093/
house;9000000;24390;369;16.0;2;Калужское шоссе;https://www.cian.ru/sale/suburban/265212998/
house;9000000;94737;95;9.0;2;Симферопольское шоссе;https://www.cian.ru/sale/suburban/260796400/
house;9200000;37323;246.5;7.0;2;Калужское шоссе;https://www.cian.ru/sale/suburban/225664605/
house;9350000;187000;50;8.0;1;Калужское шоссе;https://www.cian.ru/sale/suburban/262903574/
house;9500000;133803;71;6.0;2;Киевское шоссе;https://www.cian.ru/sale/suburban/263077858/
cottage;9500000;36965;257;15.0;3;Киевское шоссе;https://www.cian.ru/sale/suburban/260786889/
house;9500000;97938;97;9.0;1;Варшавское шоссе;https://www.cian.ru/sale/suburban/265073014/
house;9700000;138571;70;8.0;2;Варшавское шоссе;https://www.cian.ru/sale/suburban/265267885/
house;10000000;64103;156;16.0;2;Калужское шоссе;https://www.cian.ru/sale/suburban/265388732/
house;10000000;117647;85;12.0;2;Боровское шоссе;https://www.cian.ru/sale/suburban/252031316/
house;9999000;49995;200;4.0;3;Симферопольское шоссе;https://www.cian.ru/sale/suburban/262365213/
house;9990000;26289;380;9.0;2;Симферопольское шоссе;https://www.cian.ru/sale/suburban/224003956/
house;10000000;63694;157;8.0;2;Калужское шоссе;https://www.cian.ru/sale/suburban/262367965/
house;10000000;75758;132;6.0;2;Варшавское шоссе;https://www.cian.ru/sale/suburban/255194410/
house;10000000;91659;109.1;8.61;2;Варшавское шоссе;https://www.cian.ru/sale/suburban/262059990/
house;10000000;108696;92;11.0;2;Киевское шоссе;https://www.cian.ru/sale/suburban/260211841/
house;10000000;166667;60;12.0;;Ленинградское шоссе;https://www.cian.ru/sale/suburban/170614263/
