type;price;priсePerEarthsquare;houseSquare;earthSquare;floors;place;URL
house;28000000;155556;180;12.0;;Калужское шоссе;https://www.cian.ru/sale/suburban/239414199/
cottage;28000000;82353;340;12.0;;Калужское шоссе;https://www.cian.ru/sale/suburban/256136796/
cottage;27900000;37101;752;22.4;4;Калужское шоссе;https://www.cian.ru/sale/suburban/248604745/
cottage;28000000;93333;300;8.0;2;Калужское шоссе;https://www.cian.ru/sale/suburban/229967714/
house;27900000;32824;850;32.0;4;Калужское шоссе;https://www.cian.ru/sale/suburban/261109031/
house;28000000;52045;538;24.0;2;Калужское шоссе;https://www.cian.ru/sale/suburban/256883077/
house;27800000;139000;200;10.0;2;;https://www.cian.ru/sale/suburban/261792098/
house;27800000;75135;370;8.0;3;Калужское шоссе;https://www.cian.ru/sale/suburban/263696892/
house;27800000;115833;240;10.0;3;Варшавское шоссе;https://www.cian.ru/sale/suburban/263462837/
house;28000000;92409;303;8.0;4;Калужское шоссе;https://www.cian.ru/sale/suburban/251333734/
cottage;28000000;155556;180;12.0;2;Калужское шоссе;https://www.cian.ru/sale/suburban/238608428/
cottage;28000000;52045;538;30.0;3;Калужское шоссе;https://www.cian.ru/sale/suburban/223718822/
house;28000000;197183;142;6.7;2;Боровское шоссе;https://www.cian.ru/sale/suburban/265306802/
cottage;28000000;93333;300;8.0;3;Калужское шоссе;https://www.cian.ru/sale/suburban/250457287/
cottage;28000000;107692;260;6.0;2;Киевское шоссе;https://www.cian.ru/sale/suburban/262097587/
cottage;28500000;135714;210;8.0;2;Калужское шоссе;https://www.cian.ru/sale/suburban/254135826/
house;28500000;57576;495;12.0;3;Симферопольское шоссе;https://www.cian.ru/sale/suburban/261531540/
cottage;28500000;137019;208;3.85;2;Калужское шоссе;https://www.cian.ru/sale/suburban/265383156/
cottage;28730000;39035;736;11.7;3;Калужское шоссе;https://www.cian.ru/sale/suburban/246063106/
house;28900000;93226;310;15.0;3;Калужское шоссе;https://www.cian.ru/sale/suburban/241675029/
cottage;29000000;38667;750;17.0;3;Киевское шоссе;https://www.cian.ru/sale/suburban/220875894/
house;29000000;103571;280;13.0;;Варшавское шоссе;https://www.cian.ru/sale/suburban/208421888/
house;29500000;58416;505;25.0;2;Калужское шоссе;https://www.cian.ru/sale/suburban/261868036/
cottage;29500000;78249;377;15.0;3;Калужское шоссе;https://www.cian.ru/sale/suburban/263952425/
house;29500000;59000;500;25.0;2;Калужское шоссе;https://www.cian.ru/sale/suburban/232926965/
cottage;29500000;58765;502;24.0;2;Калужское шоссе;https://www.cian.ru/sale/suburban/247705084/
house;29500000;103509;285;6.0;2;Калужское шоссе;https://www.cian.ru/sale/suburban/261123484/
cottage;29500000;58416;505;25.0;2;Калужское шоссе;https://www.cian.ru/sale/suburban/254705325/
house;29500000;98333;300;21.0;2;Калужское шоссе;https://www.cian.ru/sale/suburban/260298033/
house;30000000;83799;358;15.0;;Киевское шоссе;https://www.cian.ru/sale/suburban/259417262/
house;30000000;89021;337;12.5;2;Варшавское шоссе;https://www.cian.ru/sale/suburban/249629866/
cottage;29900000;136530;219;13.0;3;Калужское шоссе;https://www.cian.ru/sale/suburban/260860531/
cottage;29900000;103103;290;12.0;3;Калужское шоссе;https://www.cian.ru/sale/suburban/256222335/
house;29900000;115802;258.2;7.6;2;Калужское шоссе;https://www.cian.ru/sale/suburban/260719039/
house;30000000;200000;150;10.0;2;;https://www.cian.ru/sale/suburban/262733306/
house;30000000;50934;589;6.0;3;Калужское шоссе;https://www.cian.ru/sale/suburban/263820802/
cottage;30000000;82690;362.8;15.0;;Калужское шоссе;https://www.cian.ru/sale/suburban/264355153/
cottage;30000000;112360;267;10.0;2;Калужское шоссе;https://www.cian.ru/sale/suburban/264736325/
house;30000000;81081;370;14.0;2;Варшавское шоссе;https://www.cian.ru/sale/suburban/263094766/
cottage;30000000;57692;520;14.0;2;Киевское шоссе;https://www.cian.ru/sale/suburban/257951435/
house;30000000;90552;331.3;20.0;4;Киевское шоссе;https://www.cian.ru/sale/suburban/264621676/
house;30000000;130492;229.9;5.0;2;Киевское шоссе;https://www.cian.ru/sale/suburban/263078717/
cottage;29999000;149995;200;7.0;2;Калужское шоссе;https://www.cian.ru/sale/suburban/265037770/
cottage;29900000;139070;215;8.0;3;Киевское шоссе;https://www.cian.ru/sale/suburban/232277411/
house;29990000;54527;550;14.07;2;Киевское шоссе;https://www.cian.ru/sale/suburban/264168922/
house;29990000;74975;400;12.81;1;Киевское шоссе;https://www.cian.ru/sale/suburban/264987004/
house;30000000;309278;97;9.0;2;;https://www.cian.ru/sale/suburban/223049906/
cottage;29900000;59800;500;40.0;;Калужское шоссе;https://www.cian.ru/sale/suburban/255261997/
cottage;29900000;124583;240;12.0;3;Боровское шоссе;https://www.cian.ru/sale/suburban/265070111/
house;30000000;115385;260;6.0;2;Боровское шоссе;https://www.cian.ru/sale/suburban/263038890/
house;30000000;118577;253;15.0;1;Калужское шоссе;https://www.cian.ru/sale/suburban/239543764/
house;29999999;197109;152.2;2.0;2;;https://www.cian.ru/sale/suburban/255290550/
cottage;30500000;76250;400;12.8;;Киевское шоссе;https://www.cian.ru/sale/suburban/257951436/
cottage;30590000;76475;400;12.7;3;Калужское шоссе;https://www.cian.ru/sale/suburban/252321165/
cottage;31000000;172222;180;12.0;2;Калужское шоссе;https://www.cian.ru/sale/suburban/261944122/
house;31000000;103333;300;12.5;2;Боровское шоссе;https://www.cian.ru/sale/suburban/264986970/
house;30900000;162461;190.2;12.21;3;Калужское шоссе;https://www.cian.ru/sale/suburban/260721390/
house;31000000;73460;422;6.0;3;Калужское шоссе;https://www.cian.ru/sale/suburban/249244511/
house;31200000;89143;350;20.0;;Калужское шоссе;https://www.cian.ru/sale/suburban/257042190/
cottage;31500000;74645;422;12.0;3;Калужское шоссе;https://www.cian.ru/sale/suburban/248166199/
cottage;31400000;157000;200;10.0;2;Калужское шоссе;https://www.cian.ru/sale/suburban/264916796/
cottage;31500000;143182;220;9.73;2;Калужское шоссе;https://www.cian.ru/sale/suburban/264999407/
cottage;31500000;68330;461;16.0;2;Минское шоссе;https://www.cian.ru/sale/suburban/223990030/
house;31990000;139087;230;8.22;2;Боровское шоссе;https://www.cian.ru/sale/suburban/248789465/
cottage;31900000;145000;220;8.0;3;Калужское шоссе;https://www.cian.ru/sale/suburban/257114875/
house;25000000;69444;360;13.0;3;Боровское шоссе;https://www.cian.ru/sale/suburban/263632965/
cottage;27500000;56584;486;15.0;3;Боровское шоссе;https://www.cian.ru/sale/suburban/215471255/
cottage;32990000;143435;230;12.0;2;Калужское шоссе;https://www.cian.ru/sale/suburban/246257478/
house;28000000;52045;538;24.0;2;Калужское шоссе;https://www.cian.ru/sale/suburban/256883077/
house;23990000;99958;240;10.0;2;Калужское шоссе;https://www.cian.ru/sale/suburban/251276213/
house;29900000;178188;167.8;13.0;;Калужское шоссе;https://www.cian.ru/sale/suburban/235546341/
house;33300000;100909;330;10.0;3;Калужское шоссе;https://www.cian.ru/sale/suburban/258318045/
cottage;26500000;129268;205;9.0;2;Калужское шоссе;https://www.cian.ru/sale/suburban/258596533/
cottage;24990000;111812;223.5;14.5;2;Калужское шоссе;https://www.cian.ru/sale/suburban/258661041/
